Country,Proposed_VitD,CRC0to14,CRC15to29,CRC30to44,CRC45to59,CRC60to74,CRC_over75,COUNTRY_CODE,ADJ_UVB,UVB_unitless_Aura,UVB_unitless_Aura2,URBAN_PERCENT,PIGMENTATION,GDP,LIFE_EXPECTANCY,SMOKING_PREV,ANIMAL_CONSUMPTION,OZONE
Guam, ,0,0,0,39.8,95.4,146.2,GUM,7.5068,249, ,93.2,1.5,,78.13,,,240
Guatemala,53.3,0,0.5,3.7,11.2,25.9,57.9,GTM,9.81152,191.2439024,247.7804878,49.8,2,5676.67,71.49,6.3,27.59,300
Guinea, ,0.1,0.3,1.1,3.3,10.4,9.8,GIN,12.28955,235.4756098,251.3953488,35.4,3,1632.39,56.77,6.3,9.25,200
Guinea-Bissau, ,0,0.2,3.3,9.8,30,52.2,GNB,11.30388,101.1538462,234.4615385,43.9,3,1401.69,55.05,6.6,16.03,240
Guyana, ,0,0.4,0.7,6.6,17.5,66.9,GUY,9.5935,198.7746479,252.972973,28.4,3,5706.19,66.02,15,38.92,240
Haiti, ,0,0.4,6.9,12.8,36.9,146.5,HTI,10.01616,62.1666667,223.4444444,53.4,3,1478.74,61.3,7.3,16.24,240
Honduras, ,0,0.8,2.7,13.1,42.5,74.7,HND,9.3023,109.6666667,243.6190476,52.2,2,3832.55,72.45,11.3,33.24,235
Hungary,48.4,0,1.8,10.9,96.2,297.6,417.5,HUN,4.59767,31.3333333,155.673913,69.5,1,21534.87,74.21,28.4,70.74,225
Iceland,57,0,0,7.4,42.6,151.1,275.7,ISL,2.0349,12.2716049,103.0657895,93.7,0,39576.97,81.9,15.4,82.17,240
India,36.5,0,0.6,2.4,8.3,21.6,29.8,IND,12.66944,174.6804479,248.7762826,31.3,2,4360.15,66.63,12.6,14.37,315
Indonesia, ,0.4,0.9,5.6,22.5,59.8,86.8,IDN,12.75372,105.6567863,227.7667185,50.7,2,8284.5,68.15,29.6,12.32,395
"Iran, Islamic Republic of", ,0.1,0.8,4.7,24.5,61.3,106.1,IRN,9.39194,67.4599407,229.4271137,69.1,1.5,17767.5,73.93,11.8,34.85,235
Iraq, ,0,0.7,3.5,12.2,28.3,38.7,IRQ,8.88426,35.4285714,225.7833333,66.5,1.5,12884.9,68.47,16.3,14.48,250
Ireland,56.4,0,1.1,6.4,52.6,201.9,347.2,IRL,2.898,29.9189189,142.7674419,62.2,0,43292.15,80.74,24,82.13,260
Israel,85.1,0,0.8,7.3,32.7,109.8,197.5,ISR,7.42959,28.7142857,224.2222222,91.9,1,28829.53,81.6,19.4,97.58,275
